vs_Oberarzt;MedianAE_ML;MedianAE_Arzt;dMAE;p;ML_better_%
ExtraTrees;1.66;0.89;0.625;<0.001;31.6
log1p_Mean;1.67;0.89;0.64;<0.001;32.1
Tweedie_1.3;1.78;0.89;0.579;<0.001;35.8
Tweedie_1.5;1.84;0.89;0.58;<0.001;32.1
Tweedie_1.7;1.73;0.89;0.58;<0.001;34.2
Gamma;1.64;0.89;0.533;<0.001;31.1
Hazard_E;2.03;0.89;0.797;<0.001;32.1
Hazard_Median;1.52;0.89;0.497;<0.001;28.5
Quantile_P50;1.48;0.89;0.517;<0.001;34.2
Quantile_P80;3.38;0.89;1.775;<0.001;24.4
Null;1.21;0.89;0.448;<0.001;34.7
