Kohorte;Subgruppe;Modell;n;MAE_Arzt;MAE_ML;dMAE;CI_low;CI_high;p_one_sided;ML_besser_pct;ueberlegen
no_isopen;overall;Quantile_P50;286;2.94;3.871;-0.931;-1.328;-0.523;1.000;31.8;nein
no_isopen;overall;Quantile_P80;286;2.94;4.411;-1.471;-1.853;-1.076;1.000;29.4;nein
no_isopen;overall;Hazard_E;286;2.94;3.806;-0.866;-1.236;-0.492;1.000;32.2;nein
no_isopen;1-2 d;ExtraTrees;86;0.972;2.473;-1.502;-2.001;-0.895;1.000;7.0;nein
no_isopen;1-2 d;RandomForest;86;0.972;2.964;-1.992;-2.47;-1.454;1.000;5.8;nein
no_isopen;1-2 d;XGBoost;86;0.972;3.177;-2.205;-2.786;-1.587;1.000;7.0;nein
no_isopen;1-2 d;Ridge;86;0.972;6.338;-5.366;-7.777;-3.716;1.000;3.5;nein
no_isopen;1-2 d;Tweedie;86;0.972;3.868;-2.897;-3.524;-2.225;1.000;8.1;nein
no_isopen;1-2 d;Tweedie_1.5;86;0.972;1.848;-0.876;-1.333;-0.296;1.000;17.4;nein
no_isopen;1-2 d;Quantile_P50;86;0.972;1.29;-0.318;-0.738;0.236;1.000;23.3;nein
no_isopen;1-2 d;Quantile_P80;86;0.972;4.099;-3.127;-3.689;-2.467;1.000;4.7;nein
no_isopen;1-2 d;Hazard_E;86;0.972;2.475;-1.504;-1.965;-0.916;1.000;8.1;nein
no_isopen;2-4 d;ExtraTrees;84;1.496;1.257;0.239;-0.187;0.695;0.376;51.2;nein
no_isopen;2-4 d;RandomForest;84;1.496;1.497;-0.0;-0.42;0.455;0.798;46.4;nein
no_isopen;2-4 d;XGBoost;84;1.496;1.886;-0.389;-0.876;0.102;0.994;40.5;nein
no_isopen;2-4 d;Ridge;84;1.496;7.521;-6.025;-12.942;-2.223;1.000;17.9;nein
no_isopen;2-4 d;Tweedie;84;1.496;2.487;-0.991;-1.447;-0.471;1.000;25.0;nein
no_isopen;2-4 d;Tweedie_1.5;84;1.496;1.342;0.154;-0.274;0.615;0.536;51.2;nein
no_isopen;2-4 d;Quantile_P50;84;1.496;0.855;0.641;0.249;1.095;0.003;59.5;JA
no_isopen;2-4 d;Quantile_P80;84;1.496;3.314;-1.818;-2.337;-1.286;1.000;17.9;nein
no_isopen;2-4 d;Hazard_E;84;1.496;1.553;-0.057;-0.551;0.463;0.872;42.9;nein
no_isopen;4-7 d;ExtraTrees;46;1.954;1.394;0.56;0.09;1.022;0.012;69.6;JA
no_isopen;4-7 d;RandomForest;46;1.954;1.717;0.238;-0.21;0.677;0.127;58.7;nein
no_isopen;4-7 d;XGBoost;46;1.954;2.057;-0.103;-0.73;0.498;0.356;56.5;nein
no_isopen;4-7 d;Ridge;46;1.954;6.503;-4.549;-10.074;-0.639;0.648;50.0;nein
no_isopen;4-7 d;Tweedie;46;1.954;2.423;-0.469;-1.235;0.221;0.631;50.0;nein
no_isopen;4-7 d;Tweedie_1.5;46;1.954;1.773;0.181;-0.209;0.561;0.218;54.3;nein
no_isopen;4-7 d;Quantile_P50;46;1.954;2.607;-0.653;-1.06;-0.222;0.999;32.6;nein
no_isopen;4-7 d;Quantile_P80;46;1.954;1.392;0.562;0.141;0.989;0.011;65.2;JA
no_isopen;4-7 d;Hazard_E;46;1.954;1.346;0.608;0.203;1.021;0.004;65.2;JA
no_isopen;>7 d;ExtraTrees;70;7.74;9.609;-1.869;-2.973;-0.581;1.000;22.9;nein
no_isopen;>7 d;RandomForest;70;7.74;9.435;-1.695;-2.808;-0.473;1.000;30.0;nein
no_isopen;>7 d;XGBoost;70;7.74;8.75;-1.011;-2.144;0.165;0.977;40.0;nein
no_isopen;>7 d;Ridge;70;7.74;11.92;-4.18;-11.664;0.148;0.884;48.6;nein
no_isopen;>7 d;Tweedie;70;7.74;8.791;-1.051;-2.127;0.077;0.989;38.6;nein
no_isopen;>7 d;Tweedie_1.5;70;7.74;10.238;-2.498;-3.536;-1.376;1.000;17.1;nein
no_isopen;>7 d;Quantile_P50;70;7.74;11.491;-3.751;-4.847;-2.571;1.000;8.6;nein
no_isopen;>7 d;Quantile_P80;70;7.74;8.095;-0.356;-1.385;0.674;0.712;50.0;nein
no_isopen;>7 d;Hazard_E;70;7.74;9.76;-2.021;-3.065;-0.898;1.000;27.1;nein
