Modell;n;MAE;MedianAE;RMSE;R2;Bias
Oberarzt;200;3.787;1.976;6.292;0.161;-1.874
Ridge;200;4.788;3.66;6.695;0.05;0.217
RandomForest;200;5.238;4.069;7.174;-0.09;0.411
ExtraTrees;200;4.42;2.858;6.751;0.035;-0.794
XGBoost;200;5.062;4.141;6.969;-0.029;0.3
Tweedie;200;5.663;4.191;7.649;-0.239;0.479
