Dataset;n_holdout;final;MAE;R2;null_MAE;beats_null
KISIK (retro holdout);2601;ExtraTrees;2.75;0.36;3.72;yes
MIMIC-IV (holdout);15028;XGBoost;2.36;0.18;2.79;yes
