approach;MAE;R2;slope;MAE_gt7;MAE_1-2;MAE_2-4;MAE_4-7;MAE_>7
Soft gate (nested-CV, frozen c,s);2.985;0.355;0.888;6.856;1.47;1.45;2.74;6.86
Soft gate (optimistic best c=7,s=1.0);2.933;0.358;0.908;6.888;1.41;1.4;2.56;6.89
Hard gate (arzt>=7);3.316;0.241;0.695;7.599;1.36;1.47;3.83;7.6
Senior physician;2.94;0.276;0.83;7.74;0.97;1.5;1.95;7.74
