estimator;MAE;RMSE;R2;calib_slope;bias;MAE_gt7
Combined model (Tweedie+recal);3.816;6.26;0.04;0.847;-0.903;9.032
Senior physician;2.94;5.435;0.276;0.83;-1.1;7.74
